id_hd;REGION;s1a1;s1a2;s1a3;s1a4;s1a5;s1a6;s2a1;s2a2;s2a3;s2a4;s2a5;s2a6;MEMBERS;Weight
4734;7;0;0;0;0;0;0;1;0;1;0;1;0;3;360.3307095
4735;7;0;2;0;1;0;1;0;0;1;0;0;0;5;317.0452195
4736;8;0;0;1;0;1;0;1;0;1;1;0;0;5;317.0452195
4737;8;0;0;1;0;0;0;1;0;1;0;1;0;4;369.9241363
4738;4;0;0;0;0;0;1;0;0;0;0;0;0;1;457.517035
4739;8;0;0;0;0;0;0;0;0;0;1;0;0;1;457.517035
4740;2;0;0;1;0;0;1;0;0;1;0;1;0;4;369.9241363
4741;2;0;0;0;0;0;1;0;0;0;0;0;0;1;457.517035
4742;8;0;0;0;0;0;0;0;0;0;1;0;0;1;457.517035
4743;4;0;0;0;1;0;0;0;0;0;0;0;0;1;457.517035
4744;7;0;0;0;0;0;0;0;0;0;0;1;0;1;457.517035
4745;8;0;0;0;0;1;0;0;0;0;1;0;0;2;386.9712
4746;2;0;0;0;0;0;1;0;0;0;0;1;0;2;386.9712
4747;3;0;0;0;0;0;0;0;0;1;0;1;0;2;386.9712
4748;4;0;0;0;0;0;1;0;0;0;0;1;0;2;386.9712
4749;3;0;0;0;0;1;0;0;1;0;0;1;0;3;360.3307095
4750;1;1;0;1;0;0;0;0;0;1;0;0;0;3;360.3307095
4751;3;0;0;1;0;1;0;0;0;0;0;1;0;3;360.3307095
4752;5;0;0;1;0;0;0;1;1;1;0;0;0;4;369.9241363
4753;4;0;1;1;1;0;0;0;0;1;0;0;0;4;369.9241363
4754;5;2;0;1;0;0;0;1;0;1;0;0;0;5;317.0452195
4755;1;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
4756;3;0;0;0;1;0;0;0;0;0;0;0;0;1;457.517035
4757;4;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
4758;1;0;0;0;1;0;1;0;0;0;0;0;0;2;386.9712
4759;8;0;0;1;0;0;1;0;0;0;0;0;1;3;360.3307095
4760;1;0;0;1;0;1;0;0;0;0;0;1;0;3;360.3307095
4761;8;0;0;1;1;0;0;0;1;0;1;0;0;4;369.9241363
4762;3;0;0;2;0;1;0;0;0;0;1;0;0;4;369.9241363
4763;6;0;1;0;1;0;0;0;1;0;1;0;0;4;369.9241363
4764;3;0;0;1;0;1;0;0;0;0;0;1;1;4;369.9241363
4765;8;0;0;1;0;1;0;0;1;1;0;1;0;5;317.0452195
4766;7;0;1;0;1;0;0;0;1;0;1;0;1;5;317.0452195
4767;6;0;0;1;0;0;0;0;0;0;0;0;1;2;386.9712
4768;5;0;0;1;0;0;0;1;0;1;0;0;0;3;360.3307095
4769;2;0;0;0;0;0;1;0;0;0;0;0;1;2;386.9712
