id_hd;REGION;s1a1;s1a2;s1a3;s1a4;s1a5;s1a6;s2a1;s2a2;s2a3;s2a4;s2a5;s2a6;MEMBERS;Weight
3112;5;0;0;0;0;1;0;0;0;0;0;1;0;2;334.3032222
3113;2;0;0;0;0;0;1;0;0;0;0;0;1;2;334.3032222
3114;1;0;0;0;0;0;1;0;0;0;0;1;0;2;334.3032222
3115;4;0;1;0;0;1;0;0;0;0;1;0;0;3;356.4039918
3116;6;0;1;0;1;0;0;0;0;0;1;0;0;3;356.4039918
3117;4;0;0;1;1;0;0;0;0;1;1;0;0;4;327.6444278
3118;4;0;0;0;0;0;0;0;0;0;0;0;1;1;369.2993357
3119;4;0;0;0;0;0;0;0;0;0;0;0;1;1;369.2993357
3120;5;0;0;0;0;0;0;0;0;0;0;0;1;1;369.2993357
3121;5;0;0;0;0;1;0;0;0;0;0;1;0;2;334.3032222
3122;3;0;0;0;1;0;0;0;0;0;1;0;0;2;334.3032222
3123;6;0;0;0;0;1;0;0;0;1;0;1;0;3;356.4039918
3124;4;0;1;0;1;0;0;0;0;0;1;0;0;3;356.4039918
3125;1;0;0;0;1;0;0;1;0;0;1;0;1;4;327.6444278
3126;2;0;2;1;1;0;0;0;0;0;1;0;0;5;348.5042866
3127;1;0;0;0;0;0;0;0;0;0;0;0;1;1;369.2993357
3128;4;0;0;0;0;1;0;0;0;0;0;1;0;2;334.3032222
3129;3;1;0;0;0;0;0;0;0;1;0;1;0;3;356.4039918
3130;2;0;1;0;1;0;0;0;1;0;1;0;0;4;327.6444278
3131;4;0;0;0;1;0;0;1;1;1;0;0;0;4;327.6444278
3132;2;1;0;0;0;0;0;1;1;1;0;0;0;4;327.6444278
3133;2;0;0;0;0;0;0;0;0;0;0;0;1;1;369.2993357
3134;2;0;0;0;0;0;0;0;0;0;0;0;1;1;369.2993357
3135;6;0;0;1;0;0;0;0;0;0;0;0;1;2;334.3032222
3136;5;1;0;1;0;0;0;0;1;0;0;0;0;3;356.4039918
3137;2;0;0;1;1;0;0;0;0;0;1;0;0;3;356.4039918
3138;3;0;2;0;0;1;0;0;0;0;1;0;0;4;327.6444278
3139;2;0;0;2;0;0;0;1;0;1;0;0;0;4;327.6444278
3140;3;0;2;0;1;0;0;0;0;0;1;0;0;4;327.6444278
3141;5;0;0;0;0;0;1;0;0;0;0;0;1;2;334.3032222
3142;2;0;0;0;1;0;0;1;2;0;1;0;0;5;348.5042866
